ID,PALABRA,MASCULINO,FEMENINO
298,mierda,74,101
314,hice,16,31
1615,votar,69,35
1847,clbianos,1,0
1843,complice,3,3
316,ojala,71,102
2855,justin,8,8
6120,quedarsen,0,1
2826,danzando,0,2
2859,enloquese,0,1
1864,democratico,19,5
1819,maduro,64,12
399,realidad,63,66
356,raye,0,1
357,jopona,0,1
359,tetona,0,1
360,seguirla,0,4
400,aveces,19,28
2864,883,0,1
395,salgan,5,5
365,johnllinas,0,1
2863,hubo,10,11
348,hp,25,33
2865,mejoooor33,0,1
369,cle,0,1
370,enemistad,0,1
402,salvame,0,3
353,clase,41,47
2873,proteccion,7,5
368,montan,3,4
1850,tapa,6,2
382,estupida,4,5
2867,saques,0,1
379,hablara,5,3
398,muchas,91,107
1848,refugiados,5,1
384,deseas,3,6
367,terminan,3,7
2868,infierno,11,20
386,demuestra,16,17
396,pido,17,33
330,super,41,65
2860,ofende,0,4
2870,respondo,2,2
1868,sharonpardo,1,1
389,amarme,0,1
2861,daddy,1,5
6122,poderes,3,3
1855,policia,38,23
378,disfrazada,10,12
393,hablas,9,8
6123,pertenezco,0,3
2871,conecto,2,1
371,blanco,29,26
315,ayer,84,74
300,asco,12,17
313,perra,9,25
308,tan,324,417
392,unica,30,43
376,verdad,113,130
299,normal,22,39
250,nada,301,410
304,termino,13,27
350,nota,23,26
1836,eltiempo,62,24
362,duele,28,78
373,gris,5,5
1858,indigno,1,1
1854,militares,16,12
2862,yankee,1,1
1852,legal,7,10
374,prestame,1,1
1856,rastros,1,0
6121,alcohol,7,8
401,puto,14,16
390,dejas,7,7
1851,medicina,12,7
358,mata,18,17
354,avion,22,14
1867,paredessan,1,0
2872,calcule,2,1
1859,dijode,2,0
387,igual,49,52
366,parejas,8,6
1853,matanza,1,1
385,marche,0,2
1862,junta,8,6
372,negro,25,22
1849,vzuela,2,0
1857,tortura,4,6
1861,activara,2,0
6124,conforma,0,1
1863,civicomilitarsignificado,2,0
1865,izquierdismo,2,0
1866,totalitario,2,0
425,decide,3,10
431,increible,32,31
1871,conociamos,1,0
6125,extranandote,0,2
2881,viven,18,14
469,tales,1,2
418,querido,25,31
432,entro,6,11
443,maquillaje,21,17
412,iugg,0,1
420,demasiado,27,55
1878,pequena,11,20
204,contigo,71,138
406,3,190,203
422,proteja,0,4
468,xd,25,11
6126,amandote,2,4
428,rotos,3,4
439,encanta,41,83
1873,piojosode,1,0
461,indio,2,1
453,odiar,7,11
440,siente,28,42
2878,celospor,0,5
417,viejito,1,2
426,destino,20,21
442,gota,1,4
438,lauuuuuuuuuuuuuu,0,1
441,tener,171,217
462,quedare,2,1
444,ajaaaaaaaa,0,1
191,mujer,97,119
1872,indigente,1,1
466,preguntado,1,1
449,golfa,0,1
450,oiste,1,2
464,nahhh,1,1
437,bai,0,7
454,gigi,0,1
1876,tachiraprotesta,1,0
465,habian,5,8
1869,mointernationa,1,0
457,ahg,0,2
451,entonces,32,64
455,haria,8,16
423,volveremos,5,8
1879,encuesta,17,3
